player,team,shots,goals,xg,passes,assists,yellow_cards,red_cards
Ellyes Joris Skhiri,Tunisia,2,0,0.10099208700000001,128,0,0,0
Ghilane Chalali,Tunisia,0,0,0.0,5,0,0,0
Gerson Torres Barrantes,Costa Rica,1,0,0.01353695,17,0,0,0
Germán Alejandro Pezzella,Argentina,1,0,0.04452438,49,0,1,0
Georges-Kévin Nkoudou Mbida,Cameroon,1,0,0.0070103277,11,0,0,0
Gaël Ondoua,Cameroon,0,0,0.0,19,0,0,0
Garang Kuol,Australia,1,0,0.23394231,4,0,0,0
Gabriel Teodoro Martinelli Silva,Brazil,4,0,0.405829787,46,0,0,0
Gabriel Fernando de Jesus,Brazil,2,0,0.323986363,27,0,0,0
Fábio Henrique Tavares,Brazil,0,0,0.0,56,0,0,0
Frederico Rodrigues Santos,Brazil,3,0,0.46720207,80,0,1,0
Francisco Javier Calvo Quesada,Costa Rica,1,0,0.014244432,101,0,2,0
Francisco Guillermo Ochoa Magaña,Mexico,0,0,0.0,108,0,0,0
Fran Karačić,Australia,3,0,0.05547327569999999,55,0,0,0
Fodé Ballo Touré,Senegal,0,0,0.0,8,0,0,0
Firas Tariq Nasser Al Albirakan,Saudi Arabia,2,0,0.124001969,69,1,0,0
Filip Đuričić,Serbia,0,0,0.0,6,0,0,0
Connor Roberts,Wales,0,0,0.0,119,0,0,0
Chul Hong,South Korea,0,0,0.0,20,0,0,0
Christopher Wooh,Cameroon,1,0,0.05692788,33,0,0,0
Christian Nørgaard,Denmark,0,0,0.0,15,0,0,0
Christian Mougang Bassogog,Cameroon,0,0,0.0,9,0,0,0
Christian Fassnacht,Switzerland,1,0,0.31681746,10,0,0,0
Christian Dannemann Eriksen,Denmark,4,0,0.154105106,231,0,0,0
Chris Mepham,Wales,0,0,0.0,170,0,1,0
Cheikhou Kouyaté,Senegal,0,0,0.0,26,0,0,0
Charles De Ketelaere,Belgium,0,0,0.0,4,0,0,0
Chang-Hoon Kwon,South Korea,0,0,0.0,23,0,0,0
Celso Borges Mora,Costa Rica,0,0,0.0,113,0,1,0
Carlos Uriel Antuna Romero,Mexico,2,0,0.30874212,18,0,0,0
Gleison Bremer Silva Nascimento,Brazil,1,0,0.34439024,85,0,0,0
Giovanni Reyna,United States,2,0,0.08602206000000001,35,0,0,0
Gideon Mensah,Ghana,0,0,0.0,45,0,0,0
Hernán Ismael Galíndez,Ecuador,0,0,0.0,77,0,0,0
Hattan Babhir,Saudi Arabia,0,0,0.0,5,1,1,0
Hassan Mohammed Al-Tambakti,Saudi Arabia,0,0,0.0,49,0,1,0
Hassan Khalid Al Heidos,Qatar,1,0,0.015712837,77,0,0,0
Harry Wilson,Wales,2,0,0.061493684,62,0,0,0
Harry Souttar,Australia,1,0,0.06809473,163,0,0,0
Harry Maguire,England,6,0,0.489955663,408,1,1,0
Haris Seferović,Switzerland,1,0,0.27028984,14,0,0,0
Hannibal Mejbri,Tunisia,0,0,0.0,2,0,0,0
Haitham Mohammed Asiri,Saudi Arabia,0,0,0.0,2,0,0,0
Guillermo Varela Olivera,Uruguay,0,0,0.0,91,0,0,0
Guido Rodríguez,Argentina,0,0,0.0,62,0,0,0
Grzegorz Krychowiak,Poland,1,0,0.02170277,127,0,1,0
Gregor Kobel,Switzerland,0,0,0.0,29,0,0,0
Granit Xhaka,Switzerland,6,0,0.295522079,240,0,0,0
Gonzalo Jordy Plata Jiménez,Ecuador,2,0,0.105323937,104,0,0,0
Ismaeel Mohammad Mohammad,Qatar,2,0,0.35790671,67,1,1,0
In-Beom Hwang,South Korea,6,0,0.197748277,247,0,0,0
Iliman Ndiaye,Senegal,2,0,0.07411676,35,1,0,0
Ilias Chair,Morocco,0,0,0.0,15,0,0,0
Ikoma Loïs Openda,Belgium,0,0,0.0,5,0,0,0
Idrissa Gana Gueye,Senegal,4,0,0.332398158,131,0,2,0
Ibrahima Konaté,France,2,0,0.17601235,228,0,0,0
Héctor Miguel Herrera López,Mexico,0,0,0.0,75,0,1,0
