home_elo,away_elo,elo_diff,home_form,away_form,form_diff,neutral,is_wc,home_total_goals,away_total_goals,home_total_xg,away_total_xg,home_total_shots,away_total_shots,home_top_scorer_goals,away_top_scorer_goals,home_total_yellow_cards,away_total_yellow_cards
1029.3528000084657,1000.0,29.352800008465692,1.0,0.5,0.5,0,0,18.0,6.0,14.955858183,8.2310779317,106.0,68.0,9.0,2.0,7.0,3.0
983.9498850944398,998.9353273276273,-14.985442233187541,0.25,0.5,-0.25,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028.0885442384276,1015.0,13.08854423842763,0.8333333333333334,0.75,0.08333333333333337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.0,998.8971113533514,-13.89711135335142,0.3333333333333333,0.5,-0.16666666666666669,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986.2665079213741,1000.0,-13.733492078625886,0.25,0.5,-0.25,1,0,4.0,0.0,3.0667434502,0.0,28.0,0.0,2.0,0.0,6.0,0.0
1015.0,1000.6471999915343,14.352800008465692,0.75,0.5,0.25,1,0,5.0,0.0,4.2747284715000005,0.0,50.0,0.0,1.0,0.0,7.0,0.0
998.2887546764879,999.299091798646,-1.0103371221581483,0.5,0.5,0.0,1,0,0.0,1.0,0.0,1.4079916985,0.0,20.0,0.0,1.0,0.0,7.0
1042.5237335219426,1000.5996667531616,41.92406676878102,0.875,0.5,0.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984.5964577455792,999.7796884986024,-15.183230753023167,0.3333333333333333,0.5,-0.16666666666666669,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.564810716485,983.2974446001898,17.267366116295193,0.5,0.4166666666666667,0.08333333333333331,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971.8591218202117,1014.3806920701602,-42.52157024994847,0.16666666666666666,0.6666666666666666,-0.5,1,0,4.0,5.0,3.0667434502,4.2747284715000005,28.0,50.0,2.0,1.0,6.0,7.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014.4073861011624,1001.2665079213741,13.140878179788274,1.0,0.5,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
976.5525123803048,1014.2554721616684,-37.702959781363575,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0,0,0.0,1.0,0.0,1.4079916985,0.0,20.0,0.0,1.0,0.0,7.0
1055.7224601069017,969.0423235296457,86.68013657725601,0.9,0.35714285714285715,0.5428571428571429,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.0,1015.0,-30.0,0.0,1.0,-1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014.8199317870291,987.4009401682025,27.418991618826567,0.625,0.4,0.22499999999999998,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958.68581426718,986.8335748594257,-28.147760592245618,0.125,0.375,-0.25,1,0,4.0,0.0,3.0667434502,0.0,28.0,0.0,2.0,0.0,6.0,0.0
993.1739203603831,984.1245927068059,9.04932765357728,0.42857142857142855,0.4444444444444444,-0.015873015873015872,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028.840319163111,1027.5539996231919,1.2863195399190772,1.0,0.75,0.25,1,0,0.0,5.0,0.0,4.2747284715000005,0.0,50.0,0.0,1.0,0.0,7.0
971.2919947606664,985.0,-13.708005239333602,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.0,1028.7080052393337,-13.708005239333716,1.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986.2398160360084,1013.8678952754253,-27.628079239416934,0.375,0.75,-0.375,0,0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0,0.0
1030.591515257841,969.4084847421591,61.18303051568182,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028.638610199864,1028.7847845381502,-0.14617433828630055,0.7,0.8333333333333334,-0.13333333333333341,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067.0559358193461,1027.6095342481526,39.44640157119352,0.9166666666666666,0.7,0.21666666666666667,0,0,0.0,5.0,0.0,4.2747284715000005,0.0,50.0,0.0,1.0,0.0,7.0
1014.3052922269641,1013.7784736850417,0.5268185419223528,0.5833333333333334,0.625,-0.04166666666666663,1,0,5.0,0.0,4.2747284715000005,0.0,50.0,0.0,1.0,0.0,7.0,0.0
1080.3601778405346,1043.6449210529724,36.71525678756211,0.9285714285714286,0.75,0.1785714285714286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.0,1015.0,-30.0,0.0,1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1002.4301082466204,-2.4301082466204207,0.5,0.5,0.0,0,0,0.0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0
1015.0,1030.0,-15.0,1.0,1.0,0.0,1,0,2.0,2.0,3.057649911,3.2705338566,41.0,33.0,1.0,2.0,7.0,3.0
1000.0,1001.264255770038,-1.2642557700379484,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1014.3528000084657,-14.352800008465692,0.5,0.75,-0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,985.0,15.0,0.5,0.0,0.5,0,0,0.0,23.0,0.0,20.988442916,0.0,110.0,0.0,9.0,0.0,11.0
1028.7881258014102,1000.0,28.78812580141016,0.8333333333333334,0.5,0.33333333333333337,0,0,0.0,13.0,0.0,8.91128704,0.0,48.0,0.0,3.0,0.0,4.0
1026.198400534251,1000.0,26.19840053425105,0.8333333333333334,0.5,0.33333333333333337,0,0,3.0,0.0,4.663221082,0.0,31.0,0.0,2.0,0.0,7.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,1.0,0.0,2.218980701,0.0,24.0,0.0,1.0,0.0,5.0
957.7088478172013,1001.209673701761,-43.50082588455962,0.3125,0.5,-0.1875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.0,1000.0,15.0,1.0,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.6192581541156,987.3251937508026,13.294064403313087,0.5,0.4166666666666667,0.08333333333333331,0,0,0.0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,13.0,10.0,8.735856199,13.6365929812,63.0,99.0,3.0,3.0,1.0,6.0
1015.0,999.950236175105,15.049763824894967,1.0,0.5,0.5,0,0,9.0,0.0,7.1046272574,0.0,51.0,0.0,3.0,0.0,2.0,0.0
1015.1049144958179,1043.0885442384276,-27.983629742609764,1.0,1.0,0.0,0,0,0.0,18.0,0.0,14.955858183,0.0,106.0,0.0,9.0,0.0,7.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,5.0,0.0,6.090516355,0.0,37.0,0.0,2.0,0.0,8.0,0.0
1028.8012182523855,1014.3552052308679,14.446013021517615,0.7,0.6666666666666666,0.033333333333333326,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
